KOREAN,ENGLISH,CHINESE,JAPANESE,GREEK,RUSSIAN,ARABIAN,MONGOLIAN
어린왕자,A Little Prince,,,,,,
그레이의 50가지 그림자,50 Shadows of Grey,,,,,,
해리포터,Harry Potter,,,,,,
해저 2만리,Twenty Thousand Leagues Under The Sea,,,,,,
엄마 찾아 3만리,Find my mom 3 Great,,,,,,
절대강좌 유니티,Absolute lecture unity,,,,,,
아프니까 환자다,I'm sick because I'm sick.,,,,,,
세계 맥주 기행,World Beer Travel,,,,,,
이 게임 공략집,Perfect guide for this game,,,,,,
작은 문,A Little Door,,,,,,
소공녀,A Little girl,,,,,,
안네의 일기,Anne's diary,,,,,,
RE:제로부터 시작하는 이세계 생활,RE:Fantasy world life starting from zero,,,,,,
@ㅏ이돌 마스터,Idol M@ster,,,,,,
창세기전,The war of genesis,,,,,,
월드 오브 워크래프트 연대기,World of Warcraft : Cronicles,,,,,,
네크로노미콘,Necronomicon,,,,,,
현자의 책,Book of the wise,,,,,,
모렐로노미콘,Morellonomicon,,,,,,
책 모양 둔기,A blunt shaped like book,,,,,,
인싸 언어 사전,Dictionary of the sosial man,,,,,,
